image, V1 [Vpp], V2 [mVpp], phase, frequency [kHz]
tek00682.png, 9.600, 640.0, -85.39, 240.1
tek00683.png, 9.600, 649.5, -82.95, 249.8
tek00684.png, 9.600, 640.0, -81.07, 259.9
tek00685.png, 9.600, 649.6, -80.46, 270.2
tek00686.png, 9.600, 620.0, -77.74, 280.3
tek00687.png, 9.600, 620.0, -75.56, 290.2
tek00688.png, 9.600, 620.0, -73.73, 299.6
tek00689.png, 9.600, 620.0, -66.79, 319.8
tek00690.png, 9.600, 620.0, -65.12, 329.6
tek00691.png, 9.600, 620.0, -63.96, 340.7
tek00692.png, 9.600, 620.0, -62.44, 349.8
tek00693.png, 9.600, 620.0, -64.59, 359.9
tek00694.png, 9.600, 640.0, -60.21, 400.4
