tek00081.png, 100.0mV, 1.440 v, 795.31“, 61.03kHz
tek00082.png, 100.0mV, 1.420 v, 795.72 °, 62.12kHz
tek00083.png, 100.0mV, 1.400 v, 795.22 °, 62.93kHz
tek00084.png, 100.0mV, 1.360 v, 795.89 °, 63.97kHz
tek00085.png, 100.0mV, 1.360 v, 795.68 °, 65.05kHz
tek00086.png, 100.0mV, 1.347 v, 795.78 °, 65.91kHz
tek00087.png, 100.0mV, 1.320 v, 794.76 °, 66.99kHz
tek00088.png, 100.0mV, 1.280 v, 794.64 °, 67.96kHz
tek00089.png, 100.0mV, 1.289 v, 794.64 °, 69.02kHz
tek00090.png, 100.0mV, 1.240 v, 794.67 °, 69.99kHz
tek00091.png, 100.0mV, 1.240 v, 793.44 °, 70.89kHz
tek00092.png, 100.0mV, 1.220 v, 795.29 °, 71.97kHz
tek00093.png, 100.0mV, 1.200 v, 793.26 °, 72.89kHz
tek00094.png, 100.0mV, 1.200 v, 793.70 °, 73.96kHz
tek00095.png, 100.0mV, 1.160 v, 794.02 °, 75.02kHz
tek00096.png, 100.0mV, 1.167 v, 792.67 °, 75.97kHz
tek00097.png, 100.0mV, 1.140 v, 794.19 °, 77.11kHz
tek00098.png, 100.0mV, 1.120 v, 794.83 °, 77.96kHz
tek00099.png, 100.0mV, 1.126 v, 795.99 °, 78.96kHz
tek00100.png, 100.0mV, 1.100 v, 794.61“, 79.96kHz
tek00101.png, 100.0mV, 980.0mV, 793.62 °, 89.90kHz
tek00102.png, 100.0mV, xxxsmv, 794.66 °, 100.0kHz
tek00103.png, 100.0mV, 805.3mV, 789.42 °, 109.9kHz
tek00104.png, 100.0mV, 720.0mV, 789.03 °, 119.8kHz
tek00105.png, 100.0mV, 689.5mV, 793.55 °, 130.1kHz
tek00106.png, 100.0mV, 653.9mV, 791.64 °, 140.1kHz
tek00107.png, 100.0mV, 560.0mV, 791.84 °, 149.9kHz
tek00108.png, 100.0mV, 549.9mV, 790.84 °, 159.8kHz
tek00109.png, 100.0mV, 500.0mV, 787.20 °, 169.9kHz
tek00110.png, 100.0mV, 488.4mV, 791.72 °, 179.9kHz
tek00111.png, 100.0mV, 460.0mV, 789.99 °, 190.1kHz
tek00112.png, 100.0mV, 463.8mV, 789.01“, 200.6kHz
tek00113.png, 100.0mV, 441.8mV, 786.01“, 210.0kHz
tek00114.png, 100.0mV, 380.0mV, 785.32 °, 219.3kHz
tek00115.png, 100.0mV, 380.0mV, 786.61“, 229.4kHz
tek00116.png, 100.0mV, 395.6mV, 785.01“, 239.7kHz
tek00117.png, 100.0mV, 340.0mV, 786.81“, 250.0kHz
tek00118.png, 100.0mV, 340.0mV, 785.21“, 260.3kHz
tek00119.png, 100.0mV, 350.8mV, 785.17 °, 269.9kHz
tek00120.png, 100.0mV, 300.0mV, 785.72 °, 280.5kHz
tek00121.png, 100.0mV, 330.2mV, 783.98 °, 289.8kHz
tek00122.png, 100.0mV, 316.4mV, 783.50 °, 299.8kHz
tek00123.png, 100.0mV, 310.1mV, 785.13 °, 309.7kHz
tek00124.png, 100.0mV, 303.0mV, 784.78 °, 320.1kHz
tek00125.png, 100.0mV, 260.0mV, 784.44 °, 330.0kHz
tek00126.png, 100.0mV, 282.0mV, 783.77 °, 340.2kHz
tek00127.png, 100.0mV, 275.9mV, 784.69 °, 350.3kHz
tek00128.png, 100.0mV, 245.5mV, 783.22 °, 400.0kHz
tek00129.png, 100.0mV, 226.1mV, 784.02 °, 450.2kHz
tek00130.png, 100.0mV, 202.1mV, 779.56 °, 500.4kHz
tek00131.png, 100.0mV, 184.4mV, 780.29 °, 549.2kHz
tek00132.png, 100.0mV, 170.7mV, 777.91“, 599.9kHz
tek00133.png, 100.0mV, 162.3mV, 780.88 °, 650.3kHz
tek00134.png, 100.0mV, 151.6mV, 775.60 °, 699.6kHz
tek00135.png, 100.0mV, 132.8mV, 771.83 °, 800.9kHz
tek00136.png, 96.00mV, 6.400 v, 7133.0 °, 10.00kHz
