image, V1 [mVpp], V2 [mVpp], phase, frequency [kHz]
tek00481.png, 987.6, 96.00, -167.1, 26.97
tek00482.png, 987.3, 96.00, -166.7, 28.00
tek00483.png, 988.1, 96.00, -165.3, 28.96
tek00484.png, 987.3, 96.00, -164.7, 32.07
tek00485.png, 980.0, 96.00, -162.8, 32.98
tek00486.png, 989.5, 96.00, -162.5, 33.96
tek00487.png, 987.7, 96.00, -162.2, 34.99
tek00488.png, 987.7, 96.00, -162.2, 34.99
tek00489.png, 980.0, 96.00, -161.6, 36.88
tek00490.png, 988.8, 96.00, -160.1, 38.05
tek00491.png, 987.6, 96.00, -160.0, 38.97
tek00492.png, 987.5, 96.00, -158.9, 40.00
tek00493.png, 987.2, 96.00, -159.4, 41.04
tek00494.png, 980.0, 96.00, -159.1, 41.98
tek00495.png, 988.3, 96.00, -157.5, 43.05
tek00496.png, 989.1, 96.97, -156.7, 43.89
tek00497.png, 987.2, 96.00, -155.6, 44.92
tek00498.png, 987.8, 96.79, -156.2, 46.04
tek00499.png, 988.2, 94.99, -157.8, 47.06
tek00500.png, 989.0, 94.75, -153.9, 48.04
tek00501.png, 988.4, 92.00, -154.5, 49.02
tek00502.png, 988.4, 92.00, -154.4, 50.01
tek00503.png, 988.0, 92.00, -154.0, 51.10
tek00504.png, 988.7, 92.00, -153.8, 51.97
tek00505.png, 988.8, 92.00, -152.8, 53.05
tek00506.png, 988.3, 92.00, -152.7, 54.00
tek00507.png, 987.0, 92.00, -150.8, 54.99
tek00508.png, 987.9, 92.00, -151.0, 56.14
tek00509.png, 989.0, 92.00, -150.7, 56.90
tek00510.png, 980.0, 92.00, -149.0, 57.94
tek00511.png, 988.1, 92.00, -149.3, 59.00
tek00512.png, 987.7, 92.00, -148.2, 59.96
tek00513.png, 988.4, 90.91, -144.4, 65.03
tek00514.png, 986.6, 90.66, -148.5, 65.93
tek00515.png, 987.5, 88.00, -145.3, 67.88
tek00516.png, 988.9, 88.00, -144.4, 69.08
tek00517.png, 988.4, 88.00, -143.8, 69.97
tek00518.png, 989.8, 88.00, -144.6, 70.91
tek00519.png, 989.9, 88.00, -143.4, 71.99
tek00520.png, 988.6, 88.00, -143.2, 72.97
tek00521.png, 988.2, 88.00, -142.7, 75.08
tek00522.png, 987.6, 88.00, -141.8, 77.20
tek00523.png, 987.3, 88.00, -140.9, 77.89
tek00524.png, 988.4, 89.77, -140.2, 80.07
tek00525.png, 989.2, 86.00, -141.2, 80.97
tek00526.png, 987.1, 86.87, -141.8, 82.07
tek00527.png, 988.7, 84.00, -138.8, 84.91
tek00528.png, 988.7, 84.00, -135.1, 89.94
tek00529.png, 987.6, 84.91, -134.0, 94.88
tek00530.png, 988.1, 80.00, -131.7, 99.96
tek00531.png, 986.6, 80.00, -129.7, 104.8
tek00532.png, 985.7, 80.00, -127.3, 110.1
tek00533.png, 987.9, 81.49, -126.8, 114.7
tek00534.png, 987.7, 76.00, -126.0, 119.9
tek00535.png, 987.4, 76.00, -125.9, 118.8
tek00536.png, 987.3, 76.00, -126.4, 117.9
tek00537.png, 986.6, 76.00, -126.1, 117.0
tek00538.png, 986.3, 76.00, -124.2, 125.0
tek00539.png, 987.0, 76.00, -120.7, 130.2
tek00540.png, 985.2, 74.00, -120.7, 135.2
tek00541.png, 985.5, 72.00, -118.8, 140.0
tek00542.png, 988.2, 72.00, -116.8, 145.0
tek00543.png, 987.3, 72.00, -115.5, 150.1
tek00544.png, 986.8, 73.61, -115.2, 155.4
tek00545.png, 988.7, 68.00, -114.5, 159.8
tek00546.png, 985.9, 68.00, -113.0, 165.2
tek00547.png, 987.9, 68.00, -111.3, 169.8
tek00548.png, 988.4, 68.00, -110.7, 174.6
tek00549.png, 986.3, 68.00, -108.5, 179.8
tek00550.png, 985.9, 66.00, -108.3, 184.8
tek00551.png, 986.6, 64.00, -105.2, 190.6
tek00552.png, 987.6, 64.00, -105.2, 195.0
tek00553.png, 986.7, 64.00, -103.4, 200.0
tek00554.png, 986.4, 64.00, -105.7, 205.2
tek00555.png, 988.5, 64.00, -103.7, 210.4
tek00556.png, 987.3, 62.00, -101.3, 220.2
tek00557.png, 986.0, 60.00, -98.16, 230.5
tek00558.png, 987.6, 60.00, -95.96, 240.0
tek00559.png, 986.5, 60.00, -94.37, 249.8
tek00560.png, 986.2, 60.00, -97.27, 259.9
tek00561.png, 985.7, 58.00, -92.67, 270.4
tek00562.png, 986.1, 58.87, -93.08, 280.3
tek00563.png, 987.1, 61.22, -90.54, 289.6
tek00564.png, 988.7, 56.00, -88.89, 300.3
tek00565.png, 980.0, 66.96, 130.6, 1.001
